trial,N,mapType,density,seed,diag,heuristicUI,deceptiveMaze,algo,algoHeuristic,runtimeMs,nodesExpanded,peakFrontier,pathLength,found,optimal
30,64,Maze,0,30030,0,Manhattan,1,Greedy,Manhattan,0.4479,1886,11,1002,1,1
30,64,Maze,0,30030,0,Manhattan,1,A*,WallAware,0.4125,1921,9,1002,1,1
30,64,Maze,0,30030,0,Manhattan,1,BiA*,WallAware,0.4606,1917,11,1002,1,1
31,64,Maze,0,31031,0,Manhattan,1,BFS,None,0.2615,1921,9,1018,1,1
31,64,Maze,0,31031,0,Manhattan,1,Dijkstra,None,0.4664,1921,8,1018,1,1
31,64,Maze,0,31031,0,Manhattan,1,Greedy,Manhattan,0.2822,1677,7,1018,1,1
31,64,Maze,0,31031,0,Manhattan,1,A*,WallAware,0.5024,1921,10,1018,1,1
31,64,Maze,0,31031,0,Manhattan,1,BiA*,WallAware,0.4186,1862,12,1018,1,1
32,64,Maze,0,32032,0,Manhattan,1,BFS,None,0.2481,1921,7,875,1,1
32,64,Maze,0,32032,0,Manhattan,1,Dijkstra,None,0.3875,1921,6,875,1,1
32,64,Maze,0,32032,0,Manhattan,1,Greedy,Manhattan,0.3311,1921,9,875,1,1
32,64,Maze,0,32032,0,Manhattan,1,A*,WallAware,0.3949,1921,9,875,1,1
32,64,Maze,0,32032,0,Manhattan,1,BiA*,WallAware,0.3843,1604,11,875,1,1
33,64,Maze,0,33033,0,Manhattan,1,BFS,None,0.2820,1921,8,587,1,1
33,64,Maze,0,33033,0,Manhattan,1,Dijkstra,None,0.3121,1921,7,587,1,1
33,64,Maze,0,33033,0,Manhattan,1,Greedy,Manhattan,0.2452,1533,16,587,1,1
33,64,Maze,0,33033,0,Manhattan,1,A*,WallAware,0.3901,1809,9,587,1,1
33,64,Maze,0,33033,0,Manhattan,1,BiA*,WallAware,0.3268,1534,13,587,1,1
34,64,Maze,0,34034,0,Manhattan,1,BFS,None,0.2449,1921,7,1017,1,1
34,64,Maze,0,34034,0,Manhattan,1,Dijkstra,None,0.3250,1921,6,1017,1,1
34,64,Maze,0,34034,0,Manhattan,1,Greedy,Manhattan,0.3235,1433,11,1017,1,1
34,64,Maze,0,34034,0,Manhattan,1,A*,WallAware,0.3983,1851,9,1017,1,1
34,64,Maze,0,34034,0,Manhattan,1,BiA*,WallAware,0.3953,1817,11,1017,1,1
35,64,Maze,0,35035,0,Manhattan,1,BFS,None,0.2652,1915,8,867,1,1
35,64,Maze,0,35035,0,Manhattan,1,Dijkstra,None,0.3481,1915,6,867,1,1
35,64,Maze,0,35035,0,Manhattan,1,Greedy,Manhattan,0.2415,1321,14,867,1,1
35,64,Maze,0,35035,0,Manhattan,1,A*,WallAware,0.4019,1815,11,867,1,1
35,64,Maze,0,35035,0,Manhattan,1,BiA*,WallAware,0.4094,1670,11,867,1,1
36,64,Maze,0,36036,0,Manhattan,1,BFS,None,0.2484,1921,9,788,1,1
36,64,Maze,0,36036,0,Manhattan,1,Dijkstra,None,0.3670,1921,7,788,1,1
36,64,Maze,0,36036,0,Manhattan,1,Greedy,Manhattan,0.2902,1686,12,788,1,1
36,64,Maze,0,36036,0,Manhattan,1,A*,WallAware,0.3871,1870,10,788,1,1
36,64,Maze,0,36036,0,Manhattan,1,BiA*,WallAware,0.3826,1754,16,788,1,1
37,64,Maze,0,37037,0,Manhattan,1,BFS,None,0.3142,1921,10,610,1,1
37,64,Maze,0,37037,0,Manhattan,1,Dijkstra,None,0.3283,1921,9,610,1,1
37,64,Maze,0,37037,0,Manhattan,1,Greedy,Manhattan,0.2514,1466,14,610,1,1
37,64,Maze,0,37037,0,Manhattan,1,A*,WallAware,0.4020,1916,9,610,1,1
37,64,Maze,0,37037,0,Manhattan,1,BiA*,WallAware,0.3261,1510,15,610,1,1
38,64,Maze,0,38038,0,Manhattan,1,BFS,None,0.2758,1921,8,729,1,1
38,64,Maze,0,38038,0,Manhattan,1,Dijkstra,None,0.3372,1921,7,729,1,1
38,64,Maze,0,38038,0,Manhattan,1,Greedy,Manhattan,0.3429,1732,12,729,1,1
38,64,Maze,0,38038,0,Manhattan,1,A*,WallAware,0.4752,1921,7,729,1,1
38,64,Maze,0,38038,0,Manhattan,1,BiA*,WallAware,0.4198,1408,12,729,1,1
39,64,Maze,0,39039,0,Manhattan,1,BFS,None,0.2841,1921,9,899,1,1
39,64,Maze,0,39039,0,Manhattan,1,Dijkstra,None,0.3695,1921,9,899,1,1
39,64,Maze,0,39039,0,Manhattan,1,Greedy,Manhattan,0.2550,1229,10,899,1,1
39,64,Maze,0,39039,0,Manhattan,1,A*,WallAware,0.4297,1916,8,899,1,1
39,64,Maze,0,39039,0,Manhattan,1,BiA*,WallAware,0.4490,1556,9,899,1,1
40,64,Maze,0,40040,0,Manhattan,1,BFS,None,0.2870,1921,9,576,1,1
40,64,Maze,0,40040,0,Manhattan,1,Dijkstra,None,0.3208,1921,8,576,1,1
40,64,Maze,0,40040,0,Manhattan,1,Greedy,Manhattan,0.2416,1445,14,576,1,1
40,64,Maze,0,40040,0,Manhattan,1,A*,WallAware,0.3672,1809,10,576,1,1
40,64,Maze,0,40040,0,Manhattan,1,BiA*,WallAware,0.3121,1475,14,576,1,1
41,64,Maze,0,41041,0,Manhattan,1,BFS,None,0.2353,1921,12,495,1,1
41,64,Maze,0,41041,0,Manhattan,1,Dijkstra,None,0.3156,1921,11,495,1,1
41,64,Maze,0,41041,0,Manhattan,1,Greedy,Manhattan,0.2562,1564,14,495,1,1
41,64,Maze,0,41041,0,Manhattan,1,A*,WallAware,0.4396,1921,16,495,1,1
41,64,Maze,0,41041,0,Manhattan,1,BiA*,WallAware,0.1718,850,9,495,1,1
42,64,Maze,0,42042,0,Manhattan,1,BFS,None,0.2404,1921,9,768,1,1
42,64,Maze,0,42042,0,Manhattan,1,Dijkstra,None,0.3526,1921,9,768,1,1
42,64,Maze,0,42042,0,Manhattan,1,Greedy,Manhattan,0.2968,1822,9,768,1,1
42,64,Maze,0,42042,0,Manhattan,1,A*,WallAware,0.3787,1921,11,768,1,1
42,64,Maze,0,42042,0,Manhattan,1,BiA*,WallAware,0.4931,1522,10,768,1,1
43,64,Maze,0,43043,0,Manhattan,1,BFS,None,0.3157,1903,6,821,1,1
43,64,Maze,0,43043,0,Manhattan,1,Dijkstra,None,0.3400,1903,6,821,1,1
43,64,Maze,0,43043,0,Manhattan,1,Greedy,Manhattan,0.2117,1160,16,821,1,1
43,64,Maze,0,43043,0,Manhattan,1,A*,WallAware,0.4066,1897,10,821,1,1
43,64,Maze,0,43043,0,Manhattan,1,BiA*,WallAware,0.4138,1853,10,821,1,1
44,64,Maze,0,44044,0,Manhattan,1,BFS,None,0.2596,1921,15,759,1,1
44,64,Maze,0,44044,0,Manhattan,1,Dijkstra,None,0.3153,1921,13,759,1,1
44,64,Maze,0,44044,0,Manhattan,1,Greedy,Manhattan,0.3580,1718,11,759,1,1
44,64,Maze,0,44044,0,Manhattan,1,A*,WallAware,0.4107,1921,11,759,1,1
44,64,Maze,0,44044,0,Manhattan,1,BiA*,WallAware,0.3884,1785,19,759,1,1
45,64,Maze,0,45045,0,Manhattan,1,BFS,None,0.2453,1917,10,477,1,1
45,64,Maze,0,45045,0,Manhattan,1,Dijkstra,None,0.3331,1918,9,477,1,1
45,64,Maze,0,45045,0,Manhattan,1,Greedy,Manhattan,0.1954,1108,20,477,1,1
45,64,Maze,0,45045,0,Manhattan,1,A*,WallAware,0.4018,1913,13,477,1,1
45,64,Maze,0,45045,0,Manhattan,1,BiA*,WallAware,0.3388,1248,13,477,1,1
46,64,Maze,0,46046,0,Manhattan,1,BFS,None,0.2969,1920,8,655,1,1
46,64,Maze,0,46046,0,Manhattan,1,Dijkstra,None,0.4384,1920,7,655,1,1
46,64,Maze,0,46046,0,Manhattan,1,Greedy,Manhattan,0.2740,1489,16,655,1,1
46,64,Maze,0,46046,0,Manhattan,1,A*,WallAware,0.4217,1891,10,655,1,1
46,64,Maze,0,46046,0,Manhattan,1,BiA*,WallAware,0.5348,1825,14,655,1,1
47,64,Maze,0,47047,0,Manhattan,1,BFS,None,0.3601,1921,7,783,1,1
47,64,Maze,0,47047,0,Manhattan,1,Dijkstra,None,0.3311,1921,6,783,1,1
47,64,Maze,0,47047,0,Manhattan,1,Greedy,Manhattan,0.2912,1137,6,783,1,1
47,64,Maze,0,47047,0,Manhattan,1,A*,WallAware,0.3601,1843,7,783,1,1
47,64,Maze,0,47047,0,Manhattan,1,BiA*,WallAware,0.2621,1237,10,783,1,1
48,64,Maze,0,48048,0,Manhattan,1,BFS,None,0.2420,1921,8,661,1,1
48,64,Maze,0,48048,0,Manhattan,1,Dijkstra,None,0.3144,1921,7,661,1,1
48,64,Maze,0,48048,0,Manhattan,1,Greedy,Manhattan,0.2407,1434,16,661,1,1
48,64,Maze,0,48048,0,Manhattan,1,A*,WallAware,0.4522,1918,8,661,1,1
48,64,Maze,0,48048,0,Manhattan,1,BiA*,WallAware,0.5122,1742,14,661,1,1
49,64,Maze,0,49049,0,Manhattan,1,BFS,None,0.2720,1872,13,393,1,1
49,64,Maze,0,49049,0,Manhattan,1,Dijkstra,None,0.4470,1870,12,393,1,1
49,64,Maze,0,49049,0,Manhattan,1,Greedy,Manhattan,0.1401,628,17,393,1,1
49,64,Maze,0,49049,0,Manhattan,1,A*,WallAware,0.4757,1782,14,393,1,1
49,64,Maze,0,49049,0,Manhattan,1,BiA*,WallAware,0.2336,788,10,393,1,1
50,64,Maze,0,50050,0,Manhattan,1,BFS,None,0.2805,1921,8,921,1,1
50,64,Maze,0,50050,0,Manhattan,1,Dijkstra,None,0.3355,1921,7,921,1,1
50,64,Maze,0,50050,0,Manhattan,1,Greedy,Manhattan,0.4767,1719,11,921,1,1
50,64,Maze,0,50050,0,Manhattan,1,A*,WallAware,0.3835,1921,6,921,1,1
50,64,Maze,0,50050,0,Manhattan,1,BiA*,WallAware,0.3650,1572,10,921,1,1
51,64,Maze,0,51051,0,Manhattan,1,BFS,None,0.3080,1921,7,791,1,1
51,64,Maze,0,51051,0,Manhattan,1,Dijkstra,None,0.3424,1921,6,791,1,1
51,64,Maze,0,51051,0,Manhattan,1,Greedy,Manhattan,0.2930,1615,11,791,1,1
51,64,Maze,0,51051,0,Manhattan,1,A*,WallAware,0.4253,1921,6,791,1,1
51,64,Maze,0,51051,0,Manhattan,1,BiA*,WallAware,0.4447,1818,13,791,1,1
52,64,Maze,0,52052,0,Manhattan,1,BFS,None,0.2465,1921,12,721,1,1
52,64,Maze,0,52052,0,Manhattan,1,Dijkstra,None,0.3497,1921,10,721,1,1
52,64,Maze,0,52052,0,Manhattan,1,Greedy,Manhattan,0.2852,1823,6,721,1,1
52,64,Maze,0,52052,0,Manhattan,1,A*,WallAware,0.3724,1920,8,721,1,1
52,64,Maze,0,52052,0,Manhattan,1,BiA*,WallAware,0.3068,1438,10,721,1,1
53,64,Maze,0,53053,0,Manhattan,1,BFS,None,0.3237,1909,8,779,1,1
53,64,Maze,0,53053,0,Manhattan,1,Dijkstra,None,0.3090,1911,7,779,1,1
53,64,Maze,0,53053,0,Manhattan,1,Greedy,Manhattan,0.3124,1619,16,779,1,1
53,64,Maze,0,53053,0,Manhattan,1,A*,WallAware,0.4654,1851,10,779,1,1
53,64,Maze,0,53053,0,Manhattan,1,BiA*,WallAware,0.4783,1854,14,779,1,1
54,64,Maze,0,54054,0,Manhattan,1,BFS,None,0.2589,1921,9,586,1,1
54,64,Maze,0,54054,0,Manhattan,1,Dijkstra,None,0.3267,1921,9,586,1,1
54,64,Maze,0,54054,0,Manhattan,1,Greedy,Manhattan,0.1521,827,13,586,1,1
54,64,Maze,0,54054,0,Manhattan,1,A*,WallAware,0.4766,1899,10,586,1,1
54,64,Maze,0,54054,0,Manhattan,1,BiA*,WallAware,0.2738,1241,13,586,1,1
55,64,Maze,0,55055,0,Manhattan,1,BFS,None,0.3021,1921,6,1079,1,1
55,64,Maze,0,55055,0,Manhattan,1,Dijkstra,None,0.4388,1921,5,1079,1,1
55,64,Maze,0,55055,0,Manhattan,1,Greedy,Manhattan,0.3495,1921,8,1079,1,1
55,64,Maze,0,55055,0,Manhattan,1,A*,WallAware,0.4241,1901,8,1079,1,1
55,64,Maze,0,55055,0,Manhattan,1,BiA*,WallAware,0.5388,1914,14,1079,1,1
56,64,Maze,0,56056,0,Manhattan,1,BFS,None,0.2962,1921,10,479,1,1
56,64,Maze,0,56056,0,Manhattan,1,Dijkstra,None,0.3272,1921,10,479,1,1
56,64,Maze,0,56056,0,Manhattan,1,Greedy,Manhattan,0.1661,996,11,479,1,1
56,64,Maze,0,56056,0,Manhattan,1,A*,WallAware,0.4994,1914,11,479,1,1
56,64,Maze,0,56056,0,Manhattan,1,BiA*,WallAware,0.2368,1098,16,479,1,1
57,64,Maze,0,57057,0,Manhattan,1,BFS,None,0.2453,1921,9,608,1,1
